task_id,flow_id,task_type,dataset_id,predictive_accuracy,setup_string,flow_class
21,60,Supervised Classification,21,0.916667,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
51,58,Supervised Classification,52,0.7,weka.classifiers.bayes.NaiveBayes,Bayes
42,75,Supervised Classification,43,0.754902,weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
32,72,Supervised Classification,32,0.914119,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01""",functions
2,76,Supervised Classification,2,0.935412,weka.classifiers.meta.Bagging -- -P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,meta
39,76,Supervised Classification,40,0.778846,weka.classifiers.meta.Bagging -- -P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,meta
31,62,Supervised Classification,31,0.7,weka.classifiers.trees.DecisionStump,trees
28,60,Supervised Classification,28,0.90427,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
36,65,Supervised Classification,36,0.977056,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
38,61,Supervised Classification,39,0.809524,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
2,59,Supervised Classification,2,0.951002,weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1,rules
87,72,Learning Curve,28,0.971120996,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01""",functions
71,65,Learning Curve,12,0.94745,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
93,70,Learning Curve,34,0.678888889,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
43,72,Supervised Classification,44,0.745925,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01""",functions
79,57,Learning Curve,20,0.2263,weka.classifiers.rules.OneR -- -B 6,rules
29,70,Supervised Classification,29,0.852174,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
72,60,Learning Curve,13,0.734265734,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
62,57,Learning Curve,2,0.836302895,weka.classifiers.rules.OneR -- -B 6,rules
86,76,Learning Curve,27,0.848641304,weka.classifiers.meta.Bagging -- -P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,meta
5,61,Supervised Classification,5,0.681416,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
34,59,Supervised Classification,34,0.711111,weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1,rules
20,77,Supervised Classification,20,0.917,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
54,70,Supervised Classification,55,0.858065,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
36,57,Supervised Classification,36,0.640693,weka.classifiers.rules.OneR -- -B 6,rules
28,65,Supervised Classification,28,0.966548,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
30,60,Supervised Classification,30,0.970035,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
3,57,Supervised Classification,3,0.674593,weka.classifiers.rules.OneR -- -B 6,rules
91,63,Learning Curve,32,0.900873362,weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0,trees
48,62,Supervised Classification,49,0.735974,weka.classifiers.trees.DecisionStump,trees
38,66,Supervised Classification,39,0.797619,"weka.classifiers.lazy.IBk -- -K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",Lazy
71,64,Learning Curve,12,0.84625,weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -S 1,trees
65,61,Learning Curve,5,0.669247788,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
24,72,Supervised Classification,24,0.998769,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01""",functions
7,57,Supervised Classification,7,0.464602,weka.classifiers.rules.OneR -- -B 6,rules
28,70,Supervised Classification,28,0.982384,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
49,60,Supervised Classification,50,0.853862,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
32,76,Supervised Classification,32,0.978712,weka.classifiers.meta.Bagging -- -P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,meta
53,77,Supervised Classification,54,0.702128,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
18,65,Supervised Classification,18,0.688,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
36,56,Supervised Classification,36,0.142857,weka.classifiers.rules.ZeroR,rules
79,77,Learning Curve,20,0.92175,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
30,63,Supervised Classification,30,0.898959,weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0,trees
12,66,Supervised Classification,12,0.961,"weka.classifiers.lazy.IBk -- -K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",Lazy
59,70,Supervised Classification,61,0.96,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
73,75,Learning Curve,14,0.19685,weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
50,57,Supervised Classification,51,0.802721,weka.classifiers.rules.OneR -- -B 6,rules
