task_id,flow_id,task_type,dataset_id,predictive_accuracy
2,61,Supervised Classification,2,0.917595
2,72,Supervised Classification,2,0.761693
18,59,Supervised Classification,18,0.708
26,65,Supervised Classification,26,0.977469
34,77,Supervised Classification,34,0.666667
27,72,Supervised Classification,27,0.850543
12,74,Supervised Classification,12,0.9795
12,64,Supervised Classification,12,0.8525
40,70,Supervised Classification,41,0.584112
41,64,Supervised Classification,42,0.853587
15,56,Supervised Classification,15,0.655222
11,74,Supervised Classification,11,0.896
18,70,Supervised Classification,18,0.709
50,70,Supervised Classification,51,0.840136
7,58,Supervised Classification,7,0.725664
1,75,Supervised Classification,1,0.836303
12,56,Supervised Classification,12,0.1
21,64,Supervised Classification,21,0.842593
39,77,Supervised Classification,40,0.725962
39,64,Supervised Classification,40,0.769231
36,67,Supervised Classification,36,0.915152
7,61,Supervised Classification,7,0.743363
37,65,Supervised Classification,37,0.75651
24,59,Supervised Classification,24,1
59,75,Supervised Classification,61,0.966667
6,75,Supervised Classification,6,0.0709
4,59,Supervised Classification,4,0.877193
39,66,Supervised Classification,40,0.855769
58,77,Supervised Classification,60,0.8322
52,72,Supervised Classification,53,0.825926
42,74,Supervised Classification,43,0.748366
47,59,Supervised Classification,48,0.456954
1,58,Supervised Classification,1,0.865256
22,59,Supervised Classification,22,0.686
24,56,Supervised Classification,24,0.517971
28,59,Supervised Classification,28,0.908363
40,59,Supervised Classification,41,0.668224
40,65,Supervised Classification,41,0.775701
15,74,Supervised Classification,15,0.965665
54,56,Supervised Classification,55,0.793548
27,64,Supervised Classification,27,0.788043
30,66,Supervised Classification,30,0.960168
15,76,Supervised Classification,15,0.958512
13,67,Supervised Classification,13,0.727273
20,66,Supervised Classification,20,0.9625
52,70,Supervised Classification,53,0.833333
26,72,Supervised Classification,26,0.922531
49,57,Supervised Classification,50,0.699374
49,72,Supervised Classification,50,0.763048
27,66,Supervised Classification,27,0.777174
24,66,Supervised Classification,24,1
29,57,Supervised Classification,29,0.855072
12,65,Supervised Classification,12,0.9435
50,60,Supervised Classification,51,0.802721
5,67,Supervised Classification,5,0.707965
31,65,Supervised Classification,31,0.733
16,70,Supervised Classification,16,0.9635
11,70,Supervised Classification,11,0.8848
26,67,Supervised Classification,26,0.903241
26,58,Supervised Classification,26,0.903318
26,64,Supervised Classification,26,0.936111
34,57,Supervised Classification,34,0.677778
20,58,Supervised Classification,20,0.9355
6,70,Supervised Classification,6,0.82255
12,76,Supervised Classification,12,0.9375
14,65,Supervised Classification,14,0.802
52,74,Supervised Classification,53,0.82963
43,76,Supervised Classification,44,0.941534
37,63,Supervised Classification,37,0.742188
41,62,Supervised Classification,42,0.279649
52,63,Supervised Classification,53,0.837037
41,76,Supervised Classification,42,0.855051
30,74,Supervised Classification,30,0.964553
35,76,Supervised Classification,35,0.934426
1,56,Supervised Classification,1,0.761693
74,58,Learning Curve,15,0.960658083
93,58,Learning Curve,34,0.682222222
68,74,Learning Curve,9,0.698536585
65,60,Learning Curve,5,0.656637168
77,72,Learning Curve,18,0.56315
75,57,Learning Curve,16,0.30805
71,75,Learning Curve,12,0.1973
95,70,Learning Curve,36,0.928614719
73,67,Learning Curve,14,0.7712
87,75,Learning Curve,28,0.197384342
98,76,Learning Curve,40,0.765865385
88,76,Learning Curve,29,0.854492754
75,60,Learning Curve,16,0.81905
69,76,Learning Curve,10,0.768918919
116,59,Learning Curve,59,0.894871795
97,64,Learning Curve,39,0.790178571
62,56,Learning Curve,2,0.76169265
66,57,Learning Curve,7,0.46460177
98,72,Learning Curve,40,0.682692308
83,57,Learning Curve,24,0.985228951
89,77,Learning Curve,30,0.968262379
70,63,Learning Curve,11,0.90608
65,56,Learning Curve,5,0.542035398
69,58,Learning Curve,10,0.837162162
116,56,Learning Curve,59,0.641025641
96,60,Learning Curve,37,0.739192708
96,58,Learning Curve,37,0.758203125
75,59,Learning Curve,16,0.81565
90,59,Learning Curve,31,0.7228
94,76,Learning Curve,35,0.924043716
94,57,Learning Curve,35,0.502185792
63,72,Learning Curve,3,0.913516896
81,59,Learning Curve,22,0.69505
83,66,Learning Curve,24,1
65,64,Learning Curve,5,0.518584071
93,59,Learning Curve,34,0.707777778
62,75,Learning Curve,2,0.836302895
63,67,Learning Curve,3,0.878473091
83,59,Learning Curve,24,0.999975382
91,72,Learning Curve,32,0.913828239
73,59,Learning Curve,14,0.7302
88,66,Learning Curve,29,0.814782609
86,70,Learning Curve,27,0.829347826
64,62,Learning Curve,4,0.785964912
71,57,Learning Curve,12,0.3963
80,56,Learning Curve,21,0.700231481
99,60,Learning Curve,41,0.670093458
99,56,Learning Curve,41,0.355140187
80,66,Learning Curve,21,0.931365741
99,65,Learning Curve,41,0.761214953
62,58,Learning Curve,2,0.74844098
89,57,Learning Curve,30,0.938443267
88,64,Learning Curve,29,0.789275362
90,67,Learning Curve,31,0.7434
70,76,Learning Curve,11,0.8352
91,60,Learning Curve,32,0.965047307
98,57,Learning Curve,40,0.598557692
