,task_id,flow_id,associated
1055,88,108,0
1056,39,106,0
1057,182,93,0
1058,159,91,0
1059,2209,105,1
1060,2166,85,0
1061,169,85,1
1062,2197,84,0
1063,2241,86,1
1064,1728,59,1
1065,170,72,0
1066,2202,105,1
1067,2156,84,0
1068,159,78,0
1069,52,97,0
1070,2233,59,0
1071,129,106,0
1072,177,83,0
1073,164,81,1
1074,2165,108,0
1075,2151,98,0
1076,2220,91,1
1077,181,108,0
1078,87,72,1
1079,159,98,1
1080,2233,72,0
1081,177,91,0
1082,2221,84,1
1083,2221,97,0
1084,2156,92,1
1085,121,95,1
1086,2214,81,1
1087,2244,78,0
1088,197,80,0
1089,2222,84,1
1090,188,99,0
1091,53,60,1
1092,2167,86,0
1093,2162,87,1
1094,2131,84,1
1095,2218,64,0
1096,198,90,1
1097,2225,106,0
1098,2227,90,0
1099,2224,103,0
1100,2249,99,0
1101,37,84,0
1102,124,83,0
1103,2224,97,1
1104,2163,108,1
1105,163,80,1
1106,2197,106,0
1107,2168,97,1
1108,2130,94,0
1109,2183,94,1
1110,2234,108,0
1111,182,80,0
1112,2243,99,0
1113,2129,87,1
1114,65,77,0
1115,2244,59,0
1116,189,92,0
1117,2169,86,1
1118,2154,92,0
1119,2199,105,1
1120,2167,79,0
1121,18,79,0
1122,2189,92,1
1123,200,85,0
1124,2236,67,0
1125,187,108,0
1126,34,82,0
1127,159,101,0
1128,125,92,0
1129,2247,79,1
1130,2127,80,0
1131,2188,76,0
1132,2197,78,0
1133,2221,106,0
1134,2251,83,0
1135,1723,66,1
1136,20,57,1
1137,2229,82,1
1138,99,103,0
1139,198,101,0
1140,167,108,0
1141,122,106,1
1142,2153,103,0
1143,2154,92,1
1144,2197,86,0
1145,2204,84,0
1146,130,98,0
1147,165,78,1
1148,26,56,1
1149,2237,64,0
1150,185,84,1
1151,79,57,1
1152,130,64,0
1153,47,84,0
1154,169,79,1
1155,120,78,1
1156,166,98,1
1157,2131,90,1
1158,2211,93,1
1159,88,78,0
1160,2242,78,1
1161,2205,60,0
1162,131,82,1
1163,71,76,1
1164,18,77,1
1165,171,61,0
1166,2165,103,0
1167,57,92,0
1168,2215,84,0
1169,2193,99,0
1170,2159,83,0
1171,2206,96,1
1172,2165,83,0
1173,10,66,1
1174,2228,91,1
1175,2150,97,1
1176,93,65,0
1177,175,94,0
1178,2244,85,0
1179,2211,87,1
1180,177,87,0
1181,115,57,1
1182,131,92,0
1183,2176,89,0
